r cabinet lighting																											
Penguin ELT					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
PAR4	Penguin	Three Great Plays of Shakespeare	 William Shakespeare	Penguin Active Reading	4	1700	Upper Int. (E)	B1	4.0-4.5	15,147		A	76	N	0		Classic	teen, adult	9781408270271	9781405852210				2007	2007	Y	formerly Penguin Readers
PGK1	Penguin	Cinderella		Penguin Kids (Disney)	1	200 			0.4	133 		A	16	Y	0				9781408288191	-				2012	2012	Y	
PGK1	Penguin	Dumbo		Penguin Kids (Disney)	1	200			0.4	123		A	16	Y	0				9781408286999	-				2012	2012	Y	
PGK1	Penguin	Finding Nemo - Nemo In School		Penguin Kids (Disney)	1	200			0.4	77		A	16	Y	0				9781408288535	-				2012	2012	Y	
PGK1	Penguin	Katie Grows a Bean Plant		Penguin Kids (CLIL)	1	200 			0.4	124 		A	16	Y	0				9781408288238	-				2013	2013	Y	
PGK1	Penguin	Magic Toys On Holiday	Caroline Laidlaw	Penguin Kids	1	200			0.4	129		A	16	Y	0		Original	Kids, Teen	9781408288245	-				2014	2014	Y	
PGK1	Penguin	Making Music		Penguin Kids (CLIL)	1	200 			0.4	115 		A	16	Y	0				9781408288214	-				2013	2013	Y	
PGK1	Penguin	Peter Pan - Comes To London		Penguin Kids (Disney)	1	200			0.4	119		A	16	Y	0				9781408288528	-				2012	2012	Y	
PGK1	Penguin	Rainbow Bird	Caroline Laidlaw	Penguin Kids	1	200			0.4	131		A	16	Y	0		Original	Kids, Teen	9781408288252	-				2014	2014	Y	
PGK1	Penguin	Rory Wants A Pet	Gabrielle Pritchard	Penguin Kids	1	200			0.4	124		A	16	Y	0		Original	Kids, Teen	9781447931287	-				2014	2014	Y	
PGK1	Penguin	Sleeping Beauty		Penguin Kids (Disney)	1	200 			0.4	106 		A	16	Y	0				9781408288511	-				2012	2012	Y	
PGK1	Penguin	Wheels Go Round		Penguin Kids (CLIL)	1	200			0.4	125		A	16	Y	0				9781408288221	-				2013	2013	Y	
PGK1	Penguin	Where I Live		Penguin Kids (CLIL)	1	200 			0.4	121 		A	16	Y	0				9781408288207	-				2013	2013	Y	
PGK1	Penguin	Winnie The Pooh		Penguin Kids (Disney)	1	200			0.4	128		A	16	Y	0				9781408288542	-				2013	2013	Y	
PGK1	Penguin	Winstons The Wizard	Melanie Williams	Penguin Kids	1	200 			0.4	144 		A	16	Y	0		Original	Kids, Teen	9781447931270	-				2014	2014	Y	
PGK2	Penguin	Awake at Night		Penguin Kids (CLIL)	2	400			0.6	271		A	16	Y	0				9781408288283	-				2013	2013	Y	
PGK2	Penguin	Bambi		Penguin Kids (Disney)	2	400			0.6	264		A	16	Y	0				9781408288573	-				2013	2013	Y	
PGK2	Penguin	Clothes At Work		Penguin Kids (CLIL)	2	400			0.6	263		A	16	Y	0				9781408288139	-				2013	2013	Y	
PGK2	Penguin	Enormous Crocodile The (Dahl)	Caroline Laidlaw	Penguin Kids	2	400			0.6	243		A	16	Y	0		Roald Dahl	Kids, Teen	9781447931324	-				2014	2014	Y	
PGK2	Penguin	Jungle Book, The - Mowgli Meets Baloo		Penguin Kids (Disney)	2	400 			0.6	192 		A	16	Y	0				9781408288566	-				2012	2012	Y	
PGK2	Penguin	Let'S Draw Shapes	Kay Bentley	Penguin Kids	2	400			0.6	275		A	16	Y	0		Clil	Kids, Teen	9781408288269	-				2014	2014	Y	
PGK2	Penguin	Little Mermaid, The - Ariel and the Prince		Penguin Kids (Disney)	2	400 			0.6	257 		A	16	Y	0				9781408288177	-				2012	2012	Y	
