Extensive Reading Foundation Graded Reader List																											
Macmillan ELT					Level Info					Wordcount / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (eBook)	ISBN D (Audiobook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
MCR6		Horses - Mr Carter's Plan	Kerry Powell	Macmillan Children's Readers	6 - Movers	NA		A2		2,525		A	32	N		F/NF		Children	9780230460447	N/A	N/A	N/A		2014	2014	Y	free audio download
MCR6		Life in the Desert - The Stubborn Ship	Paul Mason	Macmillan Children's Readers	6 - Movers	NA		A2		2,631		A	32	N		F/NF		Children	9780230460454	N/A	N/A	N/A		2014	2014	Y	LLLA FINALIST 2015; free audio download
MCR6	Macmillan Publishing	Machu Picchu - Through the Fence	Janet Johnstone / Murray Pile	Macmillan Children's Readers	6 - Movers	NA		A2		1,400		A	32	N		F/NF		Children	9781405057257	N/A	N/A	N/A		2005	2005	Y	free audio download
MCR6	Macmillan Publishing	Planets - School Trip to the Moon	Jade Michaels	Macmillan Children's Readers	6 - Movers	NA		A2		1,333		A	32	N		F/NF		Children	9781405057240	N/A	N/A	N/A		2005	2005	Y	free audio download
MCR6	Macmillan Publishing	Sharks & Dolphins - Dolphin Rescue	Donna Shaw	Macmillan Children's Readers	6 - Movers	NA		A2		1,374		A	32	N		F/NF		Children	9780230010246	N/A	N/A	N/A		2007	2007	Y	free audio download
MLEA	Macmillan Publishing	At the Zoo	Series Authors	Macmillan English Explorers	Explorers A - Starters	NA		Absolute beginner		1,011		A	24	N		F		Children	9781405059862	N/A	N/A	N/A		2006	2006	Y	free audio download
MLEA	Macmillan Publishing	Big Bad Monster, The	Series Authors	Macmillan English Explorers	Explorers A - Starters	NA		Absolute beginner		823		A	24	N		F		Children	9781405059909	N/A	N/A	N/A		2005	2005	Y	free audio download
MLEA	Macmillan Publishing	Biscuit Man, The	Series Authors	Macmillan English Explorers	Explorers A - Starters	NA		Absolute beginner		993		A	24	N		F		Children	9781405059893	N/A	N/A	N/A		2006	2006	Y	free audio download
MLEA	Macmillan Publishing	Daisy the Dinosaur	Series Authors	Macmillan English Explorers	Explorers A - Starters	NA		Absolute beginner		815		A	24	N		F		Children	9781405059879	N/A	N/A	N/A		2005	2005	Y	free audio download
MLEA	Macmillan Publishing	New Baby, The	Series Authors	Macmillan English Explorers	Explorers A - Starters	NA		Absolute beginner		902		A	24	N		F		Children	9781405059855	N/A	N/A	N/A		2005	2005	Y	free audio download
MLEA	Macmillan Publishing	Teddy's Big Day	Series Authors	Macmillan English Explorers	Explorers A - Starters	NA		Absolute beginner		858		A	24	N		F		Children	9781405059886	N/A	N/A	N/A		2006	2006	Y	free audio download
MLEB	Macmillan Publishing	Chicken-Licken	Series Authors	Macmillan English Explorers	Explorers B - Starters	NA		Pre-A1		861		A	24	N		F		Children	9781405059923	N/A	N/A	N/A		2005	2005	Y	free audio download
MLEB	Macmillan Publishing	Daisy and Danny	Series Authors	Macmillan English Explorers	Explorers B - Starters	NA		Pre-A1		810		A	24	N		F		Children	9781405059930	N/A	N/A	N/A		2005	2005	Y	free audio download
MLEB	Macmillan Publishing	Fun Day Out, A	Series Authors	Macmillan English Explorers	Explorers B - Starters	NA		Pre-A1		1,083		A	24	N		F		Children	9781405059954	N/A	N/A	N/A		2005	2005	Y	free audio download
MLEB	Macmillan Publishing	Party for Teddy, A	Series Authors	Macmillan English Explorers	Explorers B - Starters	NA		Pre-A1		968		A	24	N		F		Children	9781405059947	N/A	N/A	N/A		2005	2005	Y	free audio download
MLEB	Macmillan Publishing	School Play, The	Series Authors	Macmillan English Explorers	Explorers B - Starters	NA		Pre-A1		900		E	24	N		F		Children	9781405059961	N/A	N/A	N/A		2006	2006	Y	free audio download
MLEB	Macmillan Publishing	Stone Soup	Series Authors	Macmillan English Explorers	Explorers B - Starters	NA		Pre-A1		901		A	24	N		F		Children	9781405059916	N/A	N/A	N/A		2006	2006	Y	free audio download
MYE1	Macmillan Publishing	Aunt Rose Comes to Stay	Series Authors	Macmillan English Explorers	Explorers 1 - Starters	NA		A1		1,428		A	24	N		F		Children	9781405060011	N/A	N/A	N/A		2005	2005	Y	free audio download
MYE1	Macmillan Publishing	Daisy has the Hiccups	Series Authors	Macmillan English Explorers	Explorers 1 - Starters	NA		A1		841		A	24	N		F		Children	9781405059992	N/A	N/A	N/A		2005	2005	Y	free audio download
MYE1	Macmillan Publishing	Going to the Beach	Series Authors	Macmillan English Explorers	Explorers 1 - Starters	NA		A1		1,438		A	24	N		F		Children	9781405060028	N/A	N/A	N/A		2006	2006	Y	free audio download
MYE1	Macmillan Publishing	Greedy Gretel	Series Authors	Macmillan English Explorers	Explorers 1 - Starters	NA		A1		1,450		A	24	N		F		Children	9781405059978	N/A	N/A	N/A		2005	2005	Y	free audio download
MYE1	Macmillan Publishing	In the Jungle	Series Authors	Macmillan English Explorers	Explorers 1 - Starters	NA		A1		1,102		A	24	N		F		Children	9781405060004	N/A	N/A	N/A		2005	2005	Y	free audio download
MYE1	Macmillan Publishing	Lazy Lenny	Series Authors	Macmillan English Explorers	Explorers 1 - Starters	NA		A1		1,160		A	24	N		F		Children	9781405059985	N/A	N/A	N/A		2005	2005	Y	free audio download
MYE1		Little Red Riding Hood	Alex Raynham	Macmillan English Explorers	Explorers 1 - Starters	NA		A1		920		A	24			N/F		Children	9780230469259	N/A	N/A	N/A		2015	2015	Y	free audio download
MYE2	Macmillan Publishing	Bike Race, The	Series Authors	Macmillan English Explorers	Explorers 2 - Movers	NA		A1+		1,599		A	24	N		F		Children	9781405060073	N/A	N/A	N/A		2006	2006	Y	free audio download
MYE2	Macmillan Publishing	Daisy's Dancing Lesson	Series Authors	Macmillan English Explorers	Explorers 2 - Movers	NA		A1+		1,500		E	24	N		F		Children	9781405060059	N/A	N/A	N/A		2006	2006	Y	free audio download
MYE2	Macmillan Publishing	Jump Stick Jump	Series Authors	Macmillan English Explorers	Explorers 2 - Movers	NA		A1+		1,769		A	24	N		F		Children	9781405060035	N/A	N/A	N/A		2005	2005	Y	free audio download
MYE2	Macmillan Publishing	Pirate Jack	Series Authors	Macmillan English Explorers	Explorers 2 - Movers	NA		A1+		1,722		A	24	N		F		Children	9781405060066	N/A	N/A	N/A		2005	2005	Y	free audio download
MYE2		Puss in Boots	Alex Raynham	Macmillan English Explorers	Explorers 2 - Movers	NA		A1+		1,430		A	32			F		Children	9780230469266	N/A	N/A	N/A		2015	2015	Y	free audio download
MYE2	Macmillan Publishing	See You Soon	Series Authors	Macmillan English Explorers	Explorers 2 - Movers	NA		A1+		1,759		A	24	N		F		Children	9781405060080	N/A	N/A	N/A		2006	2006	Y	free audio download
MYE2	Macmillan Publishing	Sun Cloud Stone	Series Authors	Macmillan English Explorers	Explorers 2 - Movers	NA		A1+		1,802		A	24	N		F		Children	9781405060042	N/A	N/A	N/A		2006	2006	Y	free audio download
MYE3	Macmillan Publishing	Camcorder Thief, The	Series Authors	Macmillan English Explorers	Explorers 3 - Movers/Flyers	NA		A1+/A2		3,369		A	24	N		F		Children	9781405060110	N/A	N/A	N/A		2006	2006	Y	free audio download
MYE3	Macmillan Publishing	Elephant's Child, The	Series Authors	Macmillan English Explorers	Explorers 3 - Movers/Flyers	NA		A1+/A2		3,559		A	24	N		F		Children	9781405060097	N/A	N/A	N/A		2006	2006	Y	free audio download
MYE3	Macmillan Publishing	How the Camel Got His Hump	Series Authors	Macmillan English Explorers	Explorers 3 - Movers/Flyers	NA		A1+/A2		2,832		A	24	N		F		Children	9780230719866	N/A	N/A	N/A		2010	2010	Y	free audio download
MYE3	Macmillan Publishing	Magic Flute, The	Series Authors	Macmillan English Explorers	Explorers 3 - Movers/Flyers	NA		A1+/A2		3,302		A	24	N		F		Children	9781405060103	N/A	N/A	N/A		2006	2006	Y	free audio download
MYE3	Macmillan Publishing	Snow White	Series Authors	Macmillan English Explorers	Explorers 3 - Movers/Flyers	NA		A1+/A2		3,198		A	24	N		F		Children	9780230719781	N/A	N/A	N/A		2010	2010	Y	free audio download
MYE3		Ugly Duckling, The	Gill Munton	Macmillan English Explorers	Explorers 3 - Movers/Flyers	NA		A1+/A2		2,300		A	40			F		Children	9780230469273	N/A	N/A	N/A		2015	2015	Y	free audio download
MYE3	Macmillan Publishing	Yeti Comes to Town, A	Series Authors	Macmillan English Explorers	Explorers 3 - Movers/Flyers	NA		A1+/A2		3,976		A	24	N		F		Children	9781405060127	N/A	N/A	N/A		2006	2006	Y	free audio download
