Extensive Reading Foundation Graded Reader List			Author(s)*っｙ																								
Pearson ELT					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)*っｙ	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
PERX1	Pearson	Lisa in London (Cartoon Strip)	Victor, Paul	Pearson English Readers	1	300 	Beginner (H)	A1	1.0-1.2	1,257 		A	20	Y	2		Original	teen, adult	9781405876964	9781405878098				2008	2008	Y	
PERX1	Pearson	Marcel & the Shakespeare Letters	Rabley, Stephen	Pearson English Readers	1	300 	Beginner (H)	A1	1.0-1.2	2,031 		A	20	Y	2		Original	teen, adult	9781405876735	9781405878111				2008	2008	Y	
PERX1	Pearson	Michael Jordan	Taylor, Nancy	Pearson English Readers	1	300 	Beginner (H)	A1	1.0-1.2	1,960 		A	20	Y	2		Original	teen, adult	9781405881517	9781405878128				2008	2008	Y	
PERX1	Pearson	Missing Coins, The	Escott, John	Pearson English Readers	1	300 	Beginner (H)	A1	1.0-1.2	1,711 		A	20	Y	2		Original	teen, adult	9781405876681	9781405878142				2008	2008	Y	
PERX1	Pearson	Mother Teresa	Adrian-Vallance, D'Arcy	Pearson English Readers	1	300 	Beginner (H)	A1	1.0-1.2	2,133 		A	16	Y	2		Original	teen, adult	9781405881524	9781405878159				2008	2008	Y	
PERX1	Pearson	Muhammad Ali	Smith, Bernard	Pearson English Readers	1	300 	Beginner (H)	A1	1.0-1.2	2,451 		A	16	Y	2		Original	teen, adult	9781405881531	9781405878166				2008	2008	Y	
PERX1	Pearson	Rip Van Winkle & the Legend of Sleepy Hollow	Irving, Washington	Pearson English Readers	1	300 	Beginner (H)	A1	1.2-1.4	3,700 		A	32	Y	2		Classic	teen, adult	9781405842808	9781405878180				2008	2008	Y	
PERX1	Pearson	Run For Your Life	Waller, Stephen	Pearson English Readers	1	300 	Beginner (H)	A1	1.0-1.2	1,635 		A	32	Y	2		Original	teen, adult	9781405869706	9781405878197				2008	2008	Y	
PERX1	Pearson	Sadies Big Day at the Office	Tonya Trappe	Pearson English Readers	1	300 	Beginner (H)	A1	1.0-1.2	1,748 		A	16	Y	2		Original	teen, adult	9781408291313	9781447961574				2014	2014	Y	
PERX1	Pearson	Six Sketches	Dunkling, Leslie	Pearson English Readers	1	300 	Beginner (H)	A1	1.0-1.2	2,077 		A	20	Y	2		Original	teen, adult	9781405876698	9781405878203				2008	2008	Y	
