Extensive Reading Foundation Graded Reader List																											
Oxford U. Press					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (book only,  no CD/CD-ROM)	ISBN B (with audio CD) (Dominoes & Classic Tales w/ CD/CD-ROM) 	ISBN C (wtih MP3 CD)	ISBN D (eBook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
OBW1	Oxford U. Press	Meaning of Gifts: Stories from Turkey, The	Retold by JSB	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.2-2.4	5,254 		A		Y	4 	F	World Stories	teen & adult	978 0 19 4789271	978 0 19 478895 3				2008		Y	Audio-BrE
OBW1	Oxford U. Press	Monkey's Paw, The	W. W. Jacobs	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	4,830 		A		Y	4 	F	Fantasy and Horror	teen & adult	978 0 19 4789103	978 0 19 478878 6	9780194620550			2008		Y	Audio-BrE
OBW1P	Oxford U. Press	Murder of Mary Jones, The	Tim Vicary	Oxford Bookworms Library: Playscripts	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	6,405 		A		Y	4 	F	Playscripts	teen & adult	978 0 19 4235020	978 0 19 423514 3	9780194637411			2008		Y	Audio-BrE
OBW1	Oxford U. Press	Mutiny on the Bounty	Tim Vicary	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,825 		A		Y	4 	NF	True Stories	teen & adult	978 0 19 4789110	978 0 19 478879 3	9780194620635			2008		Y	Audio-BrE
OBW1	Oxford U. Press	Ned Kelly: A True Story	Christine Lindop	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,775 		A		Y	4 	NF	True Stories	teen & adult	978 0 19 4789127	978 0 19 478880 9	9780194637428			2008		Y	LLLA Finalist 2006, Audio-BrE
OBW1F	Oxford U. Press	New York	John Escott	Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	4,640 		A		Y	4 	NF (GE)	Factfiles	Age 9/10+ up to adult	978 0 19 4233736	978 0 19 423582 2	9780194620574			2008		Y	Audio-BrE
OBW1		Nobody LIstens	Rowena Wakefield	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,303 		A				F			9780194209519		9780194620857				2016	Y	Audio-AmE
OBW1	Oxford U. Press	Omega Files - Short Stories, The	Jennifer Bassett	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,830 		A		Y	4 	F	Fantasy and Horror	teen & adult	978 0 19 4789134	978 0 19 478881 6	9780194637435			2008		Y	Audio-BrE
OBW1	Oxford U. Press	One-Way Ticket - Short Stories	Jennifer Bassett	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,520 		A		Y	4 	F	Human Interest	teen & adult	978 0 19 4789141	978 0 19 478882 3	9780194620505			2008		Y	Audio-BrE
OBW1	Oxford U. Press	Phantom of the Opera, The	Jennifer Bassett	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	6,230 		A		Y	4 	F	Fantasy and Horror	teen & adult	978 0 19 4789158	978 0 19 478883 0	9780194620345			2008		Y	LLLA Finalist 2004, Audio-BrE
